"Name","version","Vendor","InstallDate","InstallSource"
"Adobe Acrobat Reader DC","21.001.20155","Adobe Systems Incorporated","20210513","C:\ProgramData\Adobe\Setup\{AC76BA86-7AD7-1033-7B44-AC0F074E4100}\"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","20210210","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\Cache\"
"Microsoft Office Access MUI (English) 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-0117-0409-0000-0000000FF1CE}-C\Access.en-us\"
"Microsoft Office Access Setup Metadata MUI (English) 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-0117-0409-0000-0000000FF1CE}-C\"
"Microsoft Office Enterprise 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-0030-0000-0000-0000000FF1CE}-C\"
"Microsoft Office Excel MUI (English) 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-0016-0409-0000-0000000FF1CE}-C\"
"Microsoft Office Groove MUI (English) 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-0114-0409-0000-0000000FF1CE}-C\Groove.en-us\"
"Microsoft Office Groove Setup Metadata MUI (English) 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-0114-0409-0000-0000000FF1CE}-C\"
"Microsoft Office InfoPath MUI (English) 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-0044-0409-0000-0000000FF1CE}-C\"
"Microsoft Office Office 64-bit Components 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-0030-0000-0000-0000000FF1CE}-C\"
"Microsoft Office OneNote MUI (English) 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-00A1-0409-0000-0000000FF1CE}-C\"
"Microsoft Office Outlook MUI (English) 2007","12.0.4518.1014","Microsoft Corporation","20180823","C:\MSOCache\All Users\{90120000-001A-0409-0000-0000000FF1CE}-C\"
